channel_title,Total_Videos,Total_Views,Avg_Views,Total_Likes,Avg_Engagement
Unbox Therapy,79,336452697,4258894.9,10463482,4.48
Lionsgate Movies,54,336195405,6225840.83,1240821,0.55
The Action Lab,40,331542969,8288574.22,3459176,2.09
CamilaCabelloVEVO,33,323947707,9816597.18,15185659,6.58
BostonDynamics,54,322988116,5981261.41,5498880,2.41
BuzzFeedVideo,169,319288139,1889278.93,7311734,2.94
SelenaGomezVEVO,27,319264683,11824617.89,16767842,7.39
Screen Junkies,182,319075554,1753162.38,8836325,3.33
Lucas and Marcus,42,318162616,7575300.38,7224972,2.99
Call of Duty,41,315404711,7692797.83,11553594,6.63
James Charles,118,308971512,2618402.64,19723756,8.56
FBE,148,299269779,2022093.1,8725771,3.73
The Late Late Show with James Corden,163,296789992,1820797.5,9352398,2.84
SpaceX,74,295181533,3988939.64,6744165,3.01
PTXofficial,90,281683953,3129821.7,15198126,6.11
Jimmy Kimmel Live,185,280551472,1516494.44,4758021,2.04
BuzzFeed Celeb,57,275753410,4837779.12,18703435,6.4
KatyPerryVEVO,18,273333649,15185202.72,8660466,4.99
The Tonight Show Starring Jimmy Fallon,197,271426383,1377798.9,5981334,2.33
The Slow Mo Guys,122,269936871,2212597.3,9476470,3.85
Blossom,18,265680950,14760052.78,1609080,0.72
MeghanTrainorVEVO,59,260966692,4423164.27,7076602,3.53
David Dobrik,9,255451991,28383554.56,16537616,8.0
WIRED,170,253636423,1491978.96,8278246,3.47
TheEllenShow,192,253137213,1318422.98,6015252,2.5
NikkieTutorials,109,250831472,2301206.17,16486069,7.77
5-Minute Crafts,22,249591883,11345085.59,1920318,1.02
NickyJamTV,20,243713138,12185656.9,5617078,3.07
Britain's Got Talent,60,243394029,4056567.15,4445639,1.83
Gorillaz,14,242312137,17308009.79,10610900,5.53
Focus Features,77,241268225,3133353.57,2347665,1.21
Rudy Mancuso,74,240999117,3256744.82,12969878,6.51
Marshmello,37,239805239,6481222.68,10142617,6.0
Disney Movie Trailers,59,238563448,4043448.27,5263807,2.54
CaseyNeistat,95,232745266,2449950.17,10307442,5.14
justintimberlakeVEVO,34,232092388,6826246.71,4927766,3.09
AbrahamMateoVEVO,18,229829215,12768289.72,4060979,2.36
MLG Highlights,53,228337647,4308257.49,811379,0.72
J. Cole,18,226451213,12580622.94,7770103,3.96
BANGTANTV,39,222708704,5710479.59,28718114,15.6
Domics,88,217423286,2470719.16,12304184,6.54
HBO,95,216945704,2283638.99,1726970,1.4
Complex,108,214400812,1985192.7,5754627,3.04
Bruno Mars,15,213126073,14208404.87,9402010,6.82
CalumScottVEVO,58,207198164,3572382.14,5181074,3.72
David Guetta,45,206888493,4597522.07,4880435,3.46
Marques Brownlee,130,204868208,1575909.29,10275810,6.28
CinemaSins,101,200984487,1989945.42,4508148,2.8
Liza Koshy,45,198176404,4403920.09,17051423,9.24
jacksfilms,147,197945349,1346567.0,13912207,9.02
Vogue,140,196864497,1406174.98,11791167,5.77
Tasty,150,196577636,1310517.57,6329849,3.69
Brave Wilderness,106,195237547,1841863.65,4698755,3.09
TroyeSivanVEVO,57,195158834,3423839.19,11574106,9.09
Apple,37,193767049,5236947.27,2203737,1.85
Smosh,133,192475834,1447186.72,6512195,4.13
Nicki Minaj,18,189185997,10510333.17,5351495,3.85
ImagineDragonsVEVO,45,187230825,4160685.0,8684859,5.54
Netflix,193,185818315,962789.2,4211072,2.53
DemiLovatoVEVO,25,185779719,7431188.76,10331946,6.9
The Game Theorists,47,184640656,3928524.6,6456326,5.43
Washington Post,115,184469147,1604079.54,1600183,2.19
Hulu,36,183899276,5108313.22,115179,0.08
Matt Stonie,81,183888364,2270226.72,5183456,3.44
Late Night with Seth Meyers,183,181602246,992362.0,2098813,1.43
Kanye West,23,177659300,7724317.39,3637418,2.92
Global Road Entertainment,15,176540219,11769347.93,72677,0.05
Will Smith,74,175987090,2378203.92,7529322,5.7
IISuperwomanII,105,175462864,1671074.9,13013384,8.61
Jason Derulo,34,175118409,5150541.44,4361879,3.09
KendrickLamarVEVO,24,173712654,7238027.25,8022003,5.62
SZAVEVO,41,173610028,4234390.93,6624711,4.46
HalseyVEVO,35,173457337,4955923.91,6250310,4.89
BuzzFeedBlue,81,172474038,2129309.11,3345909,2.42
FlorenceMachineVEVO,38,171933322,4524561.11,4018294,3.38
Nintendo,87,169728343,1950900.49,4854349,4.45
Vanity Fair,145,167294141,1153752.7,4636448,3.52
First We Feast,153,165704839,1083038.16,6337903,4.2
TWICE JAPAN OFFICIAL YouTube Channel,18,165470840,9192824.44,6451820,4.95
The New Yorker,23,163610853,7113515.35,788956,0.72
JennaMarbles,57,161428450,2832078.07,14050630,9.79
Gabbie Hanna,49,160736013,3280326.8,7395212,5.64
Jaiden Animations,51,158278108,3103492.31,11139918,8.86
Queen Naija,24,156429808,6517908.67,9856831,8.67
OVO Sound,11,153924091,13993099.18,7684684,5.92
Dragonfoxgirl,24,152765640,6365235.0,7440441,5.81
The Graham Norton Show,102,146971573,1440897.77,1933062,1.54
The Voice,121,146765823,1212940.69,1930572,1.94
Matthias,68,145414559,2138449.4,4139008,4.08
Movieclips Trailers,63,144773073,2297985.29,1763167,2.5
Illumination,16,144498919,9031182.44,1354900,1.54
CollegeHumor,156,143700307,921155.81,4892870,4.09
Clean Bandit,14,143693858,10263847.0,4101485,4.03
carrieunderwoodVEVO,42,142418896,3390926.1,2338703,2.01
Good Mythical Morning,147,142231380,967560.41,2999591,2.61
LOL Network,80,142221333,1777766.66,2523586,2.1
Primitive Technology,36,140610546,3905848.5,5244963,4.09
Team Coco,106,140089939,1321603.2,2580262,2.0
Sidemen,25,139931957,5597278.28,3982071,3.43
Shawn Mendes,31,139625542,4504049.74,8973171,11.64
PewDiePie,22,139000629,6318210.41,10373051,8.4
Mason Ramsey,15,138535745,9235716.33,6142813,5.45
NFL,123,136978912,1113649.69,1458944,1.6
colinfurze,68,135961026,1999426.85,4901255,4.28
CNN,179,134571828,751797.92,1686941,3.35
American Idol,86,134229246,1560805.19,1923670,2.01
PinkVEVO,18,133897758,7438764.33,4217409,4.86
LaurDIY,81,131546255,1624027.84,5773662,5.28
videogamedunkey,42,129773202,3089838.14,6949709,5.89
The Official PokÃ©mon YouTube channel,15,129493150,8632876.67,3282160,3.54
FaZe Rug,56,129237089,2307805.16,6665996,7.1
Tom Scott,159,128537887,808414.38,4698666,5.09
Bon AppÃ©tit,151,128385524,850235.26,3367069,3.24
WINNER,10,126168398,12616839.8,5100117,4.99
The King of Random,147,125688105,855021.12,2281111,2.55
Dua Lipa,13,124992796,9614830.46,7096434,7.44
ABC News (Australia),25,123714373,4948574.92,638752,0.57
The Late Show with Stephen Colbert,187,123675646,661367.09,1511686,1.5
Marzia,59,122740283,2080343.78,11165856,10.28
shakiraVEVO,7,122400297,17485756.71,3865460,4.5
Vox,192,122200130,636459.01,3260162,3.71
MigosVEVO,20,122134908,6106745.4,3727539,4.04
CrazyRussianHacker,114,121910736,1069392.42,3095101,3.25
Binging with Babish,112,120354260,1074591.61,3772142,3.75
REACT,102,119113195,1167776.42,2786097,2.86
Architectural Digest,39,118555079,3039873.82,3067021,2.47
T-Mobile,16,117979039,7373689.94,25762,1.89
Papa Jake,54,117783850,2181182.41,2027198,2.81
Simply Nailogical,53,116445329,2197081.68,6260001,6.25
Star Wars,106,115402604,1088703.81,2540732,3.38
Primitive Survival Tool,26,115323362,4435513.92,1258247,1.16
Daily Dose Of Internet,46,114711611,2493730.67,2994431,3.39
What's Inside?,70,113555112,1622215.89,1435553,2.08
Linus Tech Tips,68,111892921,1645484.13,3663771,3.98
Ram Trucks,9,110711462,12301273.56,50801,0.45
JunsKitchen,58,110463061,1904535.53,7404154,7.44
Vevo,8,110333348,13791668.5,2714928,2.88
grav3yardgirl,41,108667023,2650415.2,9018596,9.4
Panic! At The Disco,34,107058402,3148776.53,5647885,8.3
ESPN,202,105181219,520699.1,934218,1.39
Bud Light,7,104489909,14927129.86,201106,0.27
BBC Radio 1,84,104438517,1243315.68,3132079,3.65
CJENMMUSIC Official,11,103916178,9446925.27,6261433,7.34
Kanye West - Topic,30,103575610,3452520.33,2094968,3.04
Vat19,26,100669052,3871886.62,1053921,1.25
Anwar Jibawi,56,97953804,1749175.07,3883364,4.36
LastWeekTonight,24,97556377,4064849.04,2794449,3.66
Fortnite,30,96760845,3225361.5,2796181,3.89
Rosanna Pansino,96,96223956,1002332.88,3877382,5.2
VH1,46,96134126,2089872.3,4579194,4.2
Business Insider,59,96117108,1629103.53,1903743,2.45
ExplosmEntertainment,78,94368973,1209858.63,3918049,4.67
JamesBayVEVO,35,94103102,2688660.06,1547102,4.0
Team Edge,58,92798379,1599972.05,1547130,2.11
JayRockVEVO,10,92526244,9252624.4,3091271,3.95
Epicurious,52,92508363,1779006.98,1532778,1.89
Mark Rober,32,91953204,2873537.62,2636349,4.17
Guava Juice,72,91945352,1277018.78,3548792,4.47
Alan Walker,48,90600675,1887514.06,4391239,6.64
Gordon Ramsay,23,89733691,3901464.83,1221604,1.75
Erika Costell,15,89483611,5965574.07,2494167,5.34
camelsandfriends,21,88564793,4217371.1,488905,0.93
itsAlexClark,90,88455865,982842.94,3207222,4.5
Red Bull,49,88368538,1803439.55,894061,2.71
Jeep,9,88158175,9795352.78,119137,0.19
Turkish Airlines,7,86666242,12380891.71,22641,0.04
FiftyShadesVEVO,25,86648549,3465941.96,3538798,4.64
Tati,102,86618909,849204.99,4014215,5.46
Liza Koshy Too,34,85624308,2518362.0,6798663,8.47
John Mayer,21,84573814,4027324.48,3036038,4.27
Amber Scholl,72,84057729,1167468.46,4418325,6.09
jeffreestar,38,83243512,2190618.74,4798227,9.74
HyundaiUSA,11,83086102,7553282.0,7484,0.04
You Suck At Cooking,107,82688310,772787.94,3810561,5.37
Jess Glynne,20,80671323,4033566.15,1168419,2.03
Samsung,13,80509136,6193010.46,2078965,3.2
TMZ,59,79792796,1352420.27,1156377,1.63
Atlantic Records,60,79781341,1329689.02,3797263,5.28
MBCentertainment,23,79645131,3462831.78,1160092,1.54
bill wurtz,41,79117913,1929705.2,7202840,10.36
Life Noggin,148,79069240,534251.62,2654884,4.53
Jaclyn Hill,45,78601700,1746704.44,3489464,5.74
TinasheOfficialVEVO,27,78500664,2907432.0,2637883,4.65
As/Is,76,77280545,1016849.28,2072734,3.34
Billboard,64,76757116,1199329.94,4563981,7.45
Simone Giertz,70,76047479,1086392.56,5808417,6.92
Carter Sharer,18,76043213,4224622.94,1465450,2.71
The Dodo,83,75734561,912464.59,2117669,3.61
E! Entertainment,108,74950439,693985.55,563590,0.93
The Daily Show with Trevor Noah,61,74462670,1220699.51,1365660,2.56
Cobra Kai,47,73405049,1561809.55,1345156,3.31
Dan And Shay,24,73213624,3050567.67,782577,1.36
Collins Key,8,73162789,9145348.62,5996526,10.24
TED-Ed,162,72834398,449595.05,2556190,4.06
Kelly Clarkson,55,72541320,1318933.09,2154693,3.95
NBA,181,72404568,400025.24,878898,1.8
HellthyJunkFood,152,72126441,474516.06,1797077,3.34
HowToBasic,16,71925742,4495358.88,3920396,6.94
Discovery UK,29,70566954,2433343.24,503036,1.19
Prince,19,70170796,3693199.79,1092898,1.81
Laura Lee,94,69868146,743278.15,3257368,7.93
Bebe Rexha,22,69860321,3175469.14,965300,4.28
Ladylike,37,69614926,1881484.49,2401055,3.94
Strictly Dumpling,66,69022917,1045801.77,1392506,2.45
miniminter,25,68842930,2753717.2,2522151,4.07
Janelle MonÃ¡e,42,68705400,1635842.86,2079852,3.51
ONE Media,46,68423206,1487461.0,685720,1.38
Markiplier,63,68151773,1081774.17,5158306,8.77
jacksepticeye,37,67844712,1833640.86,3404435,5.6
JelloApocalypse,34,67087351,1973157.38,1964557,4.77
johnmayerVEVO,27,67086769,2484695.15,1798308,3.26
Ariana Grande`,18,65246786,3624821.44,4108083,6.91
LadyGagaVEVO,27,64758018,2398445.11,3615469,7.19
The ACE Family,9,64609976,7178886.22,6125805,12.36
Mr. Kate,65,64584006,993600.09,3567375,6.0
5SOSVEVO,32,64307790,2009618.44,5863941,11.87
SigridVEVO,40,64297856,1607446.4,1799996,4.7
TODAY,102,64161753,629036.79,619658,1.83
BillieEilishVEVO,17,62533829,3678460.53,3467286,8.14
ProZD,46,62506208,1358830.61,2895223,5.16
TheReportOfTheWeek,56,62498648,1116047.29,2422514,5.15
MiguelVEVO,28,62469168,2231041.71,2003694,4.0
ThreadBanger,69,61856201,896466.68,2920634,5.48
Troom Troom,13,60865590,4681968.46,532038,1.24
Helpful Vancouver Vet,22,60183450,2735611.36,1832693,3.37
Jake Paul,20,59855980,2992799.0,1764453,6.03
PressTube,20,59744512,2987225.6,1233234,2.33
Big Marvel,36,59289312,1646925.33,3926404,8.58
FOX Soccer,77,58652962,761726.78,392590,1.0
BBC,38,58054615,1527753.03,475864,1.7
RomanAtwoodVlogs,26,58044229,2232470.35,2822598,5.96
Major League Soccer,13,57886185,4452783.46,663183,1.37
AaronsAnimals,65,57641422,886791.11,1566076,3.58
1theK (ìëì¼ì´),19,57375949,3019786.79,3663362,8.61
K-MUSIC,13,57173158,4397935.23,2007099,4.11
weezer,16,56853902,3553368.88,1532510,3.07
TIME,74,56271463,760425.18,470692,2.39
EverythingApplePro,67,55884424,834095.88,1307049,2.95
Calvin Klein,12,55848828,4654069.0,110194,0.89
ABC News,123,55848342,454051.56,446144,2.13
SugarlandVEVO,30,54881951,1829398.37,1069407,2.23
Lauv,44,54851744,1246630.55,1962984,4.61
Great Big Story,128,54827141,428337.04,1384438,3.13
Bleacher Report,47,54701875,1163869.68,1031128,2.02
DJKhaledVEVO,14,54670201,3905014.36,1657641,3.92
Ryland Adams,31,54483792,1757541.68,3486168,7.09
DanTDM,34,53614847,1576907.26,2057872,6.45
Doctor Mike,32,53468623,1670894.47,2714045,7.5
zefrank1,50,53189544,1063790.88,3648457,7.65
Doug DeMuro,48,52992409,1104008.52,1096917,2.88
KhalidVEVO,20,52267446,2613372.3,2799654,6.89
DisneyMusicVEVO,29,52210513,1800362.52,797361,2.63
The Verge,96,51382911,535238.66,1108539,3.03
Simon's Cat,115,51215771,445354.53,2217606,4.84
STX Entertainment,17,50893355,2993726.76,27717,0.28
Glamour Magazine,48,50296677,1047847.44,1773613,3.78
iJustine,99,50060269,505659.28,1530636,4.43
Casually Explained,22,49815465,2264339.32,2172916,4.84
Dwarf Mamba,8,49190093,6148761.62,2750009,7.35
Breakfast Club Power 105.1 FM,58,48960541,844147.26,706647,2.6
ThomasRhettVEVO,11,48557588,4414326.18,780856,1.96
PBS Eons,54,48184550,892306.48,1363743,3.66
GQ,62,48037772,774802.77,1283190,3.23
Lindsey Stirling,31,47689942,1538385.23,2857839,7.31
Amazon Studios,46,47138808,1024756.7,160226,0.48
Matt Bentkowski,15,46887692,3125846.13,399941,0.98
Inside Edition,104,46579604,447880.81,736763,2.16
Intuit,4,46410511,11602627.75,93126,0.29
Kitchen Nightmares,33,46187773,1399629.48,573037,1.65
AlishaMarie,32,46149124,1442160.12,2555671,7.0
TRYANGLE FILMS,6,46062940,7677156.67,2175140,5.49
Hometalk,15,45947903,3063193.53,1196230,2.93
LIL UZI VERT,8,45907542,5738442.75,1488571,5.07
jbalvinVEVO,4,45783421,11445855.25,1012276,5.68
Ben Katz,14,45644739,3260338.5,329736,0.8
Entertainment Tonight,82,45481932,554657.71,226133,1.51
TheOdd1sOut,7,45449800,6492828.57,2456658,6.79
GraceVanderWaalVEVO,25,45166389,1806655.56,3322923,8.94
TheAngryGrandpaShow,8,44963723,5620465.38,3949318,12.07
Hydraulic Press Channel,68,44902732,660334.29,895935,2.4
Conor Maynard,5,44469933,8893986.6,2207131,5.42
Cut,64,44449224,694519.12,1336235,3.42
Nerdist,25,44412288,1776491.52,773379,3.33
Dobre Brothers,19,44382806,2335937.16,926091,3.2
DALLMYD,35,44070854,1259167.26,1388173,3.84
Boldly,17,44055512,2591500.71,1174500,3.93
Billie Eilish,19,43643107,2297005.63,2096598,6.27
America's Got Talent,15,43601945,2906796.33,774685,2.06
Google Developers,15,43362746,2890849.73,417508,1.21
How To Cake It,81,43295072,534507.06,1540907,4.08
Bleecker Street,22,43264804,1966582.0,76271,0.37
Lil Wayne,9,42913354,4768150.44,1040894,3.03
Ben Pluimer,13,42801449,3292419.15,599086,1.66
A24,46,42692490,928097.61,633096,1.8
Michelle Khare,77,42572707,552892.3,1184696,4.22
Mike Austin,9,42503849,4722649.89,326569,0.79
Butch Hartman,21,42233867,2011136.52,1649625,5.43
Carrie Underwood,16,41806753,2612922.06,475387,1.37
The New York Times,79,41696527,527804.14,539223,2.48
BBC News,93,41317479,444273.97,489094,2.15
OK Go,7,41183174,5883310.57,517934,1.47
Reaction Time,15,41154059,2743603.93,732401,2.37
Wendover Productions,55,41144966,748090.29,1407689,4.45
Hevesh5,36,41078824,1141078.44,500694,1.97
Good Morning America,77,40693706,528489.69,623455,1.76
"Tyler, The Creator",22,40485608,1840254.91,2677372,7.23
CBS News,82,40295368,491406.93,184466,1.84
Science Magazine,16,40217177,2513573.56,177971,0.45
Jackie Aina,62,39944803,644271.02,3235266,10.49
Kandee Johnson,50,39767256,795345.12,1273897,4.98
HaileeSteinfeldVEVO,9,39712033,4412448.11,1488006,5.03
BURGER KING,20,39556005,1977800.25,1052754,3.1
Tide,10,39538681,3953868.1,808965,2.21
HollywoodLife,19,39219073,2064161.74,207679,0.88
TBS,41,39197247,956030.41,720057,2.23
Coachella,3,38740070,12913356.67,0,0.0
Inanna Sarkis,18,38703290,2150182.78,1303018,3.71
ZEDDVEVO,12,38631230,3219269.17,787773,3.99
Adult Swim,8,38578045,4822255.62,1038626,3.27
ABC Television Network,24,38567664,1606986.0,701845,1.74
CBS This Morning,84,38400483,457148.61,257130,1.38
AzealiaBanksVEVO,20,38349617,1917480.85,1599444,5.81
NBC,28,38306797,1368099.89,669172,1.61
Gerry Litwin,12,38140887,3178407.25,688190,2.2
SciShow,135,38001463,281492.32,1276761,4.01
Zoella,42,37793024,899833.9,2182293,6.32
The Official PokÃ©mon YouTube Channel,37,37676005,1018270.41,1194984,5.43
RemyMaVEVO,26,37649768,1448068.0,1366102,6.09
Shay Mitchell,13,37649692,2896130.15,1218330,3.99
Legendary,7,37558556,5365508.0,447474,1.61
New Amsterdam,7,37502911,5357558.71,46639,0.2
FORMULA 1,22,37085380,1685699.09,444943,1.43
CGP Grey,28,36805588,1314485.29,3633602,11.37
NBC Sports,73,36702044,502767.73,229467,0.9
PitbullVEVO,10,36668491,3666849.1,1396454,4.88
Rooster Teeth,52,36527283,702447.75,1355560,4.42
FallOutBoyVEVO,25,35972908,1438916.32,2265559,8.3
Studio C,74,35902188,485164.7,1025999,3.53
Karina Garcia,18,35675176,1981954.22,1531078,5.28
Carli Bybel,56,35436271,632790.55,1525966,4.8
shane,9,35413539,3934837.67,3836973,12.5
Camila Cabello,30,35340290,1178009.67,3742545,12.26
NHL,26,34975176,1345199.08,475131,1.37
Philip DeFranco,20,34960179,1748008.95,2391690,7.83
Liverpool FC,10,34856951,3485695.1,864592,2.54
Gibi ASMR,48,34749642,723950.88,761870,3.15
Macklemore LLC,13,34127002,2625154.0,1286582,4.65
marshmello,12,34084527,2840377.25,2044027,7.89
Pinball Wiz,9,33991190,3776798.89,1199485,3.74
Tyler Williams,15,33698264,2246550.93,1058080,3.52
The Food Ranger,43,33575837,780833.42,733155,3.24
5FDPVEVO,19,33501371,1763230.05,1191653,4.58
Teen Vogue,58,33394180,575761.72,1646993,5.72
KathleenLights,69,33327785,483011.38,1753430,6.16
iKON,5,33246211,6649242.2,2242529,7.89
Fueled By Ramen,39,33174757,850634.79,2422446,7.15
PBS NewsHour,31,33086450,1067304.84,225202,1.74
Wouldn't Change a Thing,10,33064622,3306462.2,504379,1.61
Skip and Shannon: UNDISPUTED,44,33027771,750631.16,264894,1.66
Full Frontal with Samantha Bee,63,32973495,523388.81,494193,2.42
5MadMovieMakers,17,32955977,1938586.88,655216,2.01
The Infographics Show,58,32664166,563175.28,668572,2.67
Jess Conte,17,32572986,1916058.0,1704944,5.52
League of Legends,13,32520360,2501566.15,653395,2.66
Dani Ochoa,12,32321375,2693447.92,1275579,9.07
The View,94,32278863,343392.16,310115,1.62
DuckSoss,12,32207818,2683984.83,1145639,4.23
Prime Video,5,32010035,6402007.0,4308,0.02
Whistle Sports,12,32007446,2667287.17,454907,1.56
FOX 17 WXMI,15,31903521,2126901.4,236166,0.84
FoundFlix,17,31672161,1863068.29,513631,1.98
NBC News,104,31528074,303154.56,272109,1.52
WatchMojo.com,18,31183964,1732442.44,271921,2.11
Wassabi Productions,18,30992680,1721815.56,1381968,6.63
DreamWorksTV,6,30950233,5158372.17,562771,2.14
googledoodles,12,30926810,2577234.17,938256,3.78
Austin Evans,65,30663944,471752.98,1412572,5.86
All is Art,9,30618743,3402082.56,177148,0.84
DONG,28,30601371,1092906.11,1121403,4.13
John Lewis,4,30557393,7639348.25,233997,1.01
Natalies Outlet,18,30353541,1686307.83,2958431,12.21
Half as Interesting,71,30264007,426253.62,939602,3.88
IGN,56,30000167,535717.27,606554,2.64
Mnet K-POP,7,29980157,4282879.57,2046222,7.57
Morgan Adams,24,29858160,1244090.0,2308040,9.03
MustardVEVO,20,29818604,1490930.2,767278,3.19
Tiffany Day,10,29757853,2975785.3,1616567,5.94
Wendy Williams,56,29735527,530991.55,348209,2.08
The Sims,20,29687134,1484356.7,1470791,6.31
boogie2988,13,29282299,2252484.54,1984398,7.95
Jeremy Jahns,39,29250110,750002.82,1011354,4.42
TheOdd2sOut,27,29120441,1078534.85,2505062,11.23
Gus Johnson,68,29091111,427810.46,1345919,6.12
BBCRadio1VEVO,46,28992544,630272.7,929080,4.04
TechSmartt,18,28795673,1599759.61,460714,3.77
notnotryan,12,28773069,2397755.75,546578,2.17
Mike Boyd,63,28654820,454838.41,1185178,4.97
Budweiser,7,28592638,4084662.57,42793,0.36
Tyler Oakley,63,28474353,451973.86,1529338,8.77
CBC News,39,28169056,722283.49,139646,1.07
The X Factor UK,13,28161814,2166293.38,1034745,3.81
Impulse,32,28132818,879150.56,324405,1.41
Brad Mondo,36,28093537,780376.03,1285731,5.12
amazon,10,27952435,2795243.5,55167,1.01
Charlie Corts,15,27739310,1849287.33,580278,2.28
PlayOverwatch,23,27647704,1202074.09,892377,4.0
MyLifeAsEva,29,27480825,947614.66,1522924,6.39
William Osman,77,27435191,356301.18,1679936,6.64
Martin Garrix,7,27250257,3892893.86,1570397,7.13
Vsauce2,22,26923044,1223774.73,947700,4.24
the Hacksmith,13,26804701,2061900.08,494916,2.25
Eh Bee Family,19,26762543,1408554.89,452017,2.54
Davie504,35,26700739,762878.26,1416020,6.7
johnlegendVEVO,12,26492866,2207738.83,664656,2.92
Groupon,7,26402350,3771764.29,7557,0.05
MatthewSantoro,57,26279374,461041.65,755562,4.26
WOWPresents,69,26042480,377427.25,727918,3.69
Nerdwriter1,62,25845261,416859.05,1747932,7.51
Michelob ULTRA,9,25810875,2867875.0,55467,0.21
Nike,10,25776205,2577620.5,631761,3.36
Tina Yong,27,25620848,948920.3,773716,4.2
Microsoft Surface,16,25524002,1595250.12,661197,2.92
Major Lazer,15,25516159,1701077.27,1005473,5.42
ElleOfTheMills,32,25365998,792687.44,2816183,12.01
KeithUrbanVEVO,40,25331697,633292.43,334945,1.99
Clash of Clans,3,25142750,8380916.67,325762,1.5
Blake Shelton,14,25055794,1789699.57,338659,1.8
ToniBraxtonVEVO,17,25039077,1472886.88,807891,4.16
SELF,12,24945845,2078820.42,894456,3.72
Jeopardy!,21,24861087,1183861.29,148487,0.78
HvdH-Plane-Spotter,5,24475287,4895057.4,135959,0.63
TED,31,24124415,778206.94,1311845,5.8
PatrickStarrr,22,24104829,1095674.05,900929,5.35
Rudimental,19,24053679,1265983.11,735404,3.63
FOOD INSIDER,14,23971240,1712231.43,193669,1.18
Sylvia Gani,35,23914477,683270.77,989438,4.63
Doug Ellison,13,23832561,1833273.92,284044,1.59
Kylie Cosmetics,19,23717995,1248315.53,989637,4.88
IFC Films,26,23690594,911176.69,48370,1.27
UFC ON FOX,25,23423234,936929.36,85943,0.57
JuliaMichaelsVEVO,17,23415178,1377363.41,680797,3.52
Hamilton: An American Musical,20,23122801,1156140.05,1256721,6.28
Mike Shinoda,18,23055221,1280845.61,1322344,7.05
McDonald's,17,22941265,1349486.18,88949,0.7
merrelltwins,37,22776228,615573.73,1541797,8.41
Waterjet Channel,22,22762408,1034654.91,328570,2.0
Because Science,35,22608332,645952.34,698711,4.42
TRL,21,22575687,1075032.71,887238,4.65
Step Up: High Water,9,22447439,2494159.89,67255,0.44
Annapurna Channel,12,22427789,1868982.42,92826,0.47
A Chick Called Albert,7,22324463,3189209.0,827638,4.3
CrashRacing,8,22199905,2774988.12,113482,0.63
ViralHog,47,22139659,471056.57,332945,1.21
MrBeast,7,22068205,3152600.71,833375,5.06
Watch What Happens Live with Andy Cohen,95,21978782,231355.6,107981,1.06
Nikita Dragun,21,21961779,1045799.0,1405639,7.62
NFVEVO,9,21923445,2435938.33,1285326,7.18
Muse,9,21804186,2422687.33,761178,4.58
Snapchat,8,21791461,2723932.62,0,0.0
Recanto EcolÃ³gico Rio da Prata,12,21405421,1783785.08,187609,1.01
SnoopDoggVEVO,21,21307932,1014663.43,386103,2.79
Genius,33,21234109,643457.85,616399,4.88
ThatcherJoe,15,21172532,1411502.13,1426777,7.37
National Geographic,61,21169679,347043.92,413254,2.79
Dancing With The Stars,40,21058599,526464.98,243439,1.35
Pitch Perfect,8,21021349,2627668.62,396303,2.66
1MILLION Dance Studio,33,20959169,635126.33,1399898,7.23
iHasCupquake,18,20816941,1156496.72,712629,5.16
radiodisney,11,20750077,1886370.64,2229064,11.9
MLB,20,20671345,1033567.25,139397,0.89
Brat,7,20658205,2951172.14,533320,2.91
Battle Universe,22,20561453,934611.5,238114,1.46
BBC Three,37,20479623,553503.32,445674,2.86
Kensuke Koike,16,20459327,1278707.94,338681,1.84
MamaMiaMakeup,18,20394384,1133021.33,838905,4.55
Google,26,20366337,783320.65,676450,3.43
Open Road Films,7,20319703,2902814.71,48156,0.28
DaveHax,17,20292643,1193684.88,179175,1.22
Joey Graceffa,25,20183463,807338.52,1521232,8.84
FC Barcelona,56,19980575,356795.98,603500,3.38
The Royal Family,9,19939567,2215507.44,436332,2.48
Jason Mraz,15,19889568,1325971.2,573678,3.39
Cole and Marmalade,45,19877783,441728.51,844437,5.69
BrettYoungVEVO,17,19850358,1167668.12,302440,2.62
samfryltd,13,19778649,1521434.54,560164,3.39
Ultra Music,12,19749530,1645794.17,1062011,7.12
BrainfooTV,13,19644583,1511121.77,128756,0.8
Don Diablo,26,19592890,753572.69,776398,5.02
Niki and Gabi,10,19531458,1953145.8,711874,4.75
Linkin Park,23,19353808,841469.91,1567596,9.74
GPhase,13,19332330,1487102.31,563144,3.08
Lil Peep,6,19266150,3211025.0,1171726,7.04
JonTronShow,6,19103910,3183985.0,1257906,7.57
The1975VEVO,7,19101662,2728808.86,937450,5.62
KygoOfficialVEVO,7,19071153,2724450.43,877829,5.48
Blonded,9,19030696,2114521.78,741334,4.28
Glam&Gore,50,19028774,380575.48,1495822,8.32
FrenchMontanaVEVO,7,18885554,2697936.29,668861,4.61
Nat Geo WILD,22,18822664,855575.64,328866,2.05
JayZVEVO,5,18797516,3759503.2,566096,3.93
Chris Stuckmann,33,18649504,565136.48,697136,4.69
ÐÐ¸ÐºÐ¸ÑÐ° ÐÑÐ´ÑÐ½ÑÐºÐ¸Ð¹,13,18578173,1429090.23,1747132,10.21
Michael Dapaah,12,18510352,1542529.33,1106111,5.59
Kia Motors America,7,18470406,2638629.43,25971,0.33
SomeThingElseYT,18,18442108,1024561.56,642323,4.2
